r,gs,bb,hr,ip,k,l,h,games,era,w,team,total,war,er
753,141,654,142,1547.3,1373,79,1440,907,3.96,87,LAA,15,8.1,681
1439,463,984,306,2874.6,2497,168,2825,532,4.12,160,HOU,12,25.799999999999997,1317
1259,346,906,325,2772.3,2322,164,2481,1045,3.77,166,OAK,13,40.199999999999996,1161
1727,398,1215,399,3435.3,2968,188,3360,1620,4.19,197,TOR,25,36.7,1599
1028,258,855,234,2670.3,2768,129,2344,1339,3.23,147,ATL,23,44.2,959
1084,270,809,244,2232.3,2009,142,2152,914,3.97,120,MIL,19,25.200000000000006,984
1751,397,1528,399,3951.0,3722,193,3671,2079,3.69,241,STL,33,38.4,1618
849,149,654,188,1576.3,1370,102,1580,889,4.36,63,CHC,17,5.199999999999998,763
1413,496,1098,334,3281.6,2983,155,2964,707,3.55,227,TBR,13,46.8,1296
1468,353,1070,346,3072.6,2529,179,3037,1362,3.99,149,ARI,25,25.80000000000001,1363
1033,418,883,261,3040.3,3175,118,2418,811,2.81,201,LAD,16,71.40000000000002,950
2089,662,1581,453,4705.6,4405,247,4338,1328,3.72,292,SFG,23,53.20000000000001,1944
1483,281,866,419,2974.9,2699,175,2967,1698,4.16,175,CLE,20,31.5,1374
1166,276,810,294,2516.3,2425,159,2338,1136,3.81,129,SEA,18,29.2,1066
831,182,783,169,1859.0,1889,91,1623,994,3.74,108,FLA,19,20.5,773
1838,522,1238,459,3959.9,3609,221,3733,1367,3.86,208,NYM,26,48.00000000000001,1699
1273,341,875,277,2815.6,2714,139,2609,1224,3.64,166,WSN,18,36.29999999999999,1140
2078,470,1408,526,3862.6,3336,234,3970,1625,4.52,207,BAL,19,35.89999999999999,1941
1107,266,878,271,2321.6,2128,146,2178,1099,4.04,116,SDP,22,9.3,1041
1352,261,941,296,2634.3,2436,142,2635,1364,4.2,142,PHI,23,24.5,1230
1349,341,978,292,3017.3,2592,158,2924,1399,3.71,183,PIT,20,34.5,1243
1601,365,1022,388,3018.0,2233,162,3116,1267,4.37,184,TEX,20,25.199999999999996,1466
329,63,267,92,639.0,515,31,637,325,4.37,27,BOS,15,5.0,310
1463,345,1045,405,2714.0,2148,161,2782,976,4.52,136,CIN,22,6.299999999999999,1362
1769,407,1179,409,3191.6,2691,176,3411,1382,4.69,178,COL,20,37.5,1664
1789,363,1320,432,3618.0,3183,205,3465,1802,4.15,195,KCR,22,40.1,1667
1420,291,848,301,2510.0,1779,146,2758,1033,4.71,133,DET,27,12.400000000000002,1314
1389,299,890,320,2476.3,2110,147,2546,1052,4.71,136,MIN,20,14.0,1295
1441,304,1204,352,3172.6,3120,161,2941,1546,3.79,178,CHW,23,51.400000000000006,1336
1161,182,1056,278,2669.3,2853,118,2408,1750,3.63,128,NYY,29,47.8,1076
